Bulan Panen,Provinsi Jawa Barat,Bogor,Sukabumi,Cianjur,Bandung,Garut,Tasikmalaya,Ciamis,Kuningan,Cirebon,Majalengka,Sumedang,Indramayu,Subang,Purwakarta,Karawang,Bekasi,Bandung Barat,Pangandaran,Kota Bogor,Kota Sukabumi,Kota Bandung,Kota Cirebon,Kota Bekasi,Kota Depok,Kota Cimahi,Kota Tasikmalaya,Kota Banjar
Januari,62186.39,2038.44,2179.25,5725.77,2568.99,4469.98,4269.28,930.91,2090.49,1816.73,1092.33,2280.27,146.04,3571.63,797.06,21220.75,4062.98,2156.59,177.55,10.37,284.14,23.71,2.0,0.86,0.0,0.0,270.11,0.16
Februari,76932.74,4763.82,6366.72,14029.62,1662.16,5428.32,10939.41,2188.77,2924.39,1112.2,1815.73,2650.8,276.82,3277.0,1811.39,12303.2,1278.09,862.68,2120.0,5.19,363.01,50.27,3.0,0.06,0.0,0.15,464.15,235.78
Maret,209730.96,10795.2,29272.27,26862.33,3882.47,14668.99,9807.06,6546.48,8769.2,9947.56,15879.01,7740.05,9631.37,16324.45,4622.94,10132.62,9118.65,7089.09,6867.34,0.0,128.69,40.62,8.29,57.54,3.53,0.04,890.52,644.66
April,222637.25,4878.46,17716.57,8952.39,10881.66,10081.39,7025.7,14523.4,5184.18,10391.54,18380.7,7777.36,31037.58,33090.79,6033.67,16313.57,8807.12,3005.96,5429.4,8.98,39.98,143.68,14.55,4.5,0.0,13.79,1491.09,1409.24
Mei,188434.06,3454.99,3274.79,6681.41,6784.9,7293.14,6953.77,3117.24,2675.19,13637.01,6624.91,4078.33,59397.21,26743.7,1715.16,18068.18,13892.39,2460.6,450.07,21.94,167.25,147.66,14.92,7.81,2.45,6.57,620.48,141.99
Juni,127431.93,3846.42,6921.32,11020.38,2834.85,6797.18,9364.44,1123.45,3626.92,8606.37,3432.36,3419.04,16509.82,7682.31,1364.01,25976.68,11524.18,2100.15,346.99,23.84,395.67,96.0,14.58,3.9,0.0,0.04,401.02,0.0
Juli,186298.94,6722.96,22392.17,23190.1,2245.78,10564.02,9509.23,3749.79,8785.73,13088.74,11287.55,8567.37,14902.1,9023.12,4051.9,20050.29,9907.4,6475.95,880.21,12.86,370.15,11.85,17.76,17.87,2.45,10.82,429.72,31.03
Agustus,167966.42,9239.64,14269.01,14797.17,3113.04,10940.83,11132.39,9077.18,4118.66,5944.51,16808.23,6880.65,12440.57,15540.82,6201.25,11162.22,749.27,4374.02,8598.76,6.13,72.12,55.72,16.2,45.42,0.0,43.33,1087.44,1251.84
September,124308.36,5300.5,5730.81,5698.42,6538.34,6296.91,7197.14,8670.91,2517.39,5116.19,6041.13,2931.31,13668.73,17930.0,3527.38,12311.1,5382.84,1849.63,4656.35,14.29,159.26,149.62,23.76,35.7,0.0,17.31,1470.17,1073.16
Oktober,157701.27,3363.56,3127.59,5486.75,9941.88,5901.23,5410.82,5554.48,2340.86,8882.52,4009.63,2371.38,42817.78,25671.82,671.71,13738.1,14237.68,1996.32,845.42,10.5,110.6,115.93,4.66,0.25,1.18,0.0,591.69,496.93
November,137610.1,3210.39,3969.4,7361.69,3311.16,5610.75,6344.16,1448.26,2937.06,10055.42,2883.7,3642.74,31332.13,19564.21,1016.83,18370.82,13100.79,2583.64,0.0,13.96,366.68,111.09,2.0,7.22,0.0,0.07,365.93,0.0
Desember,94061.79,1887.92,7264.67,7690.02,2084.02,5987.86,9566.04,1618.57,2294.11,5284.26,1674.24,2672.71,7337.58,5898.83,1645.9,22645.46,5485.52,2051.35,96.7,12.68,263.57,64.28,3.31,2.58,0.0,4.85,488.41,36.35
Tahunan,1755300.23,59502.3,122484.58,137496.06,55849.27,94040.6,97519.45,58549.44,48264.17,93883.06,89929.53,55012.02,239497.73,184318.68,33459.2,202292.99,97546.91,37005.98,30468.79,140.74,2721.12,1010.44,125.03,183.71,9.61,96.96,8570.73,5321.14
