Kabupaten/Kota,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Provinsi Jawa Barat,62186.39,76932.74,209730.96,222637.25,188434.06,127431.93,186298.94,167966.42,124308.36,157701.27,137610.1,94061.79,1755300.23
Bogor,2038.44,4763.82,10795.2,4878.46,3454.99,3846.42,6722.96,9239.64,5300.5,3363.56,3210.39,1887.92,59502.3
Sukabumi,2179.25,6366.72,29272.27,17716.57,3274.79,6921.32,22392.17,14269.01,5730.81,3127.59,3969.4,7264.67,122484.58
Cianjur,5725.77,14029.62,26862.33,8952.39,6681.41,11020.38,23190.1,14797.17,5698.42,5486.75,7361.69,7690.02,137496.06
Bandung,2568.99,1662.16,3882.47,10881.66,6784.9,2834.85,2245.78,3113.04,6538.34,9941.88,3311.16,2084.02,55849.27
Garut,4469.98,5428.32,14668.99,10081.39,7293.14,6797.18,10564.02,10940.83,6296.91,5901.23,5610.75,5987.86,94040.6
Tasikmalaya,4269.28,10939.41,9807.06,7025.7,6953.77,9364.44,9509.23,11132.39,7197.14,5410.82,6344.16,9566.04,97519.45
Ciamis,930.91,2188.77,6546.48,14523.4,3117.24,1123.45,3749.79,9077.18,8670.91,5554.48,1448.26,1618.57,58549.44
Kuningan,2090.49,2924.39,8769.2,5184.18,2675.19,3626.92,8785.73,4118.66,2517.39,2340.86,2937.06,2294.11,48264.17
Cirebon,1816.73,1112.2,9947.56,10391.54,13637.01,8606.37,13088.74,5944.51,5116.19,8882.52,10055.42,5284.26,93883.06
Majalengka,1092.33,1815.73,15879.01,18380.7,6624.91,3432.36,11287.55,16808.23,6041.13,4009.63,2883.7,1674.24,89929.53
Sumedang,2280.27,2650.8,7740.05,7777.36,4078.33,3419.04,8567.37,6880.65,2931.31,2371.38,3642.74,2672.71,55012.02
Indramayu,146.04,276.82,9631.37,31037.58,59397.21,16509.82,14902.1,12440.57,13668.73,42817.78,31332.13,7337.58,239497.73
Subang,3571.63,3277.0,16324.45,33090.79,26743.7,7682.31,9023.12,15540.82,17930.0,25671.82,19564.21,5898.83,184318.68
Purwakarta,797.06,1811.39,4622.94,6033.67,1715.16,1364.01,4051.9,6201.25,3527.38,671.71,1016.83,1645.9,33459.2
Karawang,21220.75,12303.2,10132.62,16313.57,18068.18,25976.68,20050.29,11162.22,12311.1,13738.1,18370.82,22645.46,202292.99
Bekasi,4062.98,1278.09,9118.65,8807.12,13892.39,11524.18,9907.4,749.27,5382.84,14237.68,13100.79,5485.52,97546.91
Bandung Barat,2156.59,862.68,7089.09,3005.96,2460.6,2100.15,6475.95,4374.02,1849.63,1996.32,2583.64,2051.35,37005.98
Pangandaran,177.55,2120.0,6867.34,5429.4,450.07,346.99,880.21,8598.76,4656.35,845.42,0.0,96.7,30468.79
Kota Bogor,10.37,5.19,0.0,8.98,21.94,23.84,12.86,6.13,14.29,10.5,13.96,12.68,140.74
Kota Sukabumi,284.14,363.01,128.69,39.98,167.25,395.67,370.15,72.12,159.26,110.6,366.68,263.57,2721.12
Kota Bandung,23.71,50.27,40.62,143.68,147.66,96.0,11.85,55.72,149.62,115.93,111.09,64.28,1010.44
Kota Cirebon,2.0,3.0,8.29,14.55,14.92,14.58,17.76,16.2,23.76,4.66,2.0,3.31,125.03
Kota Bekasi,0.86,0.06,57.54,4.5,7.81,3.9,17.87,45.42,35.7,0.25,7.22,2.58,183.71
Kota Depok,0.0,0.0,3.53,0.0,2.45,0.0,2.45,0.0,0.0,1.18,0.0,0.0,9.61
Kota Cimahi,0.0,0.15,0.04,13.79,6.57,0.04,10.82,43.33,17.31,0.0,0.07,4.85,96.96
Kota Tasikmalaya,270.11,464.15,890.52,1491.09,620.48,401.02,429.72,1087.44,1470.17,591.69,365.93,488.41,8570.73
Kota Banjar,0.16,235.78,644.66,1409.24,141.99,0.0,31.03,1251.84,1073.16,496.93,0.0,36.35,5321.14
